Id,Content
Zuoyequnxing_1_1,Bạn đang nhìn gì vậy?
Zuoyequnxing_1_2,"À, cậu đây rồi. Không có gì đâu. Tôi chỉ đang tự hỏi... liệu tôi có thể thực hiện một nguồn nghiên cứu khổng lồ nào khác để tìm hiểu toàn bộ Exoswarm phát ra từ cỗ máy khổng lồ này không..."
Zuoyequnxing_1_3,"Cần một bài thuyết trình nào để khiến mọi thế lực lớn ở Solaris đều đồng lòng và đổ Credits vào túi tôi, năm này qua năm khác?"
Zuoyequnxing_1_4,Bạn đã tìm ra nó chưa?
Zuoyequnxing_1_5,"Vẫn chưa. Lương tâm tôi không cho phép tôi nghĩ xa đến mức đó. May mắn thay, người có thể giải mã điều này đã trở lại."
Zuoyequnxing_1_6,Ông lão đã hứa thanh kiếm với tôi? Thủ lĩnh của Tập thể Spacetrek?
Zuoyequnxing_1_7,"Điều đó là đúng, nhưng đừng để sự đồng thuận vội vàng đó đánh lừa bạn. Anh ta đã tính toán trước rất nhiều bước rồi. Nếu Ashinohara không rơi vào tình thế nguy cấp như vậy, anh ta đã không dễ dàng đồng ý rèn thanh kiếm đó cho bạn."
Zuoyequnxing_1_8,"Hoặc ít nhất, anh ta cũng sẽ đảm bảo rằng mình nhận được cái giá phải trả."
Zuoyequnxing_1_14,Hãy xem lại lần nữa. Hãy cho bản thân một ngày để khám phá xung quanh.
Zuoyequnxing_1_15,Cứ đi đi. Một thành viên của Black Shores sẽ gặp bạn ở đó. Hừm... Tôi vẫn còn phải dọn dẹp mớ hỗn độn của Dr. Luuk.
Zuoyequnxing_1_16,"Tôi đã hiểu. Nếu bạn cần, tôi luôn sẵn lòng hỗ trợ."
Zuoyequnxing_1_17,"Vâng, tôi đang nghe đây..."
Zuoyequnxing_1_18,Vậy ra là về Denia... Tôi hiểu rồi. Chúng ta nên nói chuyện này trực tiếp.
Zuoyequnxing_1_19,Tôi không tìm thấy đứa trẻ. Thời gian và không gian trong chiều không gian đó quá đứt gãy. Linh thú của tôi đã bị lạc.
Zuoyequnxing_1_20,Hmm... vậy thì chúng ta cần một thứ gì đó có thể duy trì lâu hơn. Một cách tìm kiếm nào tốt hơn không?
Zuoyequnxing_1_21,Tính phản ứng của Voidmatter gần đây rất cao. Tốt nhất là nên theo dõi một dấu hiệu rõ ràng.
Zuoyequnxing_1_22,Đứa trẻ đó là Cộng Hưởng Giả của Exostrider. Không có dấu hiệu nào rõ ràng hơn thế nữa.
Zuoyequnxing_1_23,"Có vẻ như đã đến lúc Exostrider phải được kích hoạt lại rồi. Khi đó, dù bạn là một người lớn phiền phức hay là người được giao nhiệm vụ điều khiển nó, tôi chắc chắn mọi người sẽ đồng lòng, bạn không nghĩ vậy sao?"
Zuoyequnxing_1_24,"Ôi, hay là chúng ta dùng cảnh quay Exostrider kích hoạt để kêu gọi vốn nhỉ?"
Zuoyequnxing_1_25,Và các thỏa thuận bảo mật?
Zuoyequnxing_1_26,Không ai thông cảm cho nỗi lo tài chính mãn tính của tôi sao?
Zuoyequnxing_1_27,Được thôi. Đến Honami đi. Tôi đã chấp thuận việc nghỉ phép của bạn rồi.
Zuoyequnxing_1_28,Tại sao?
Zuoyequnxing_1_29,Để... thử lưỡi kiếm ư?
Zuoyequnxing_1_30,"Ngay cả khi Exostrider thức tỉnh, vẫn có cơ hội nó thất bại. Nếu điều đó xảy ra, những thứ bạn đã phong ấn tại <te href=851075>Dimmr Plains</te> sẽ trở thành một mối nguy hiểm..."
Zuoyequnxing_1_31,Nhưng nó cũng có thể là quân át chủ bài của chúng ta.
Zuoyequnxing_1_32,"Vậy nên, trước khi tôi giao cho bạn gánh nặng canh giữ những đồng bằng kia, hãy đi giải quyết chuyện tình cảm của bạn trước đã."
Zuoyequnxing_1_33,Đã hiểu. Tôi sẽ trở lại sau một ngày.
Zuoyequnxing_1_34,"Hiyuki đến vùng đất băng giá để báo cho Lucilla biết rằng linh vật giấy origami của cô đã không tìm thấy Aemeath. Lucilla giao cho Hiyuki nhiệm vụ mới là canh giữ Dimmr Plains, trong khi họ tiếp tục kế hoạch đánh thức Exostrider—một biện pháp dự phòng nếu kế hoạch chính thất bại. Để giúp Hiyuki hoàn thành nhiệm vụ đó với một tinh thần minh mẫn, Lucilla gợi ý cô nên trở về Honami City trước để giải quyết một số nút thắt trong lòng."
Zuoyequnxing_10_1,"Chào, Lady Miko. Tôi đã đợi bạn rất lâu rồi."
Zuoyequnxing_10_2,Điều ước cuối cùng của tôi... chỉ đơn giản là được gặp bạn lần cuối.
Zuoyequnxing_10_3,Điều ước cuối cùng của bạn?
Zuoyequnxing_10_4,Vâng. Mọi chuyện ổn thôi. Tôi biết mình đã chết. Tôi biết bây giờ tôi là thứ họ gọi là 'Người Bị Bỏ Lại'.
Zuoyequnxing_10_5,"Nhưng tôi nghĩ nếu dù sao tôi cũng phải cứ thế này, thì chi bằng tôi nên lấy thứ mình muốn trước khi tan biến, phải không?"
Zuoyequnxing_10_6,"Tôi đã nghe nói về những trường hợp những người bị bỏ lại vẫn ý thức được trạng thái của mình, được nuôi dưỡng bởi những khao khát mãnh liệt... Nhưng chỉ với một điều ước đơn giản như thế này..."
Zuoyequnxing_10_7,Bạn thực sự chỉ khao khát được gặp tôi lần nữa thôi sao?
Zuoyequnxing_10_8,"Hehe. Ý tôi là, bạn <i>là</i> một huyền thoại. Bạn đã là Miko của Hoa Anh Đào Rực Lửa từ thời bà cố của tôi rồi."
Zuoyequnxing_10_9,"Khi tôi nghe tin Honami gặp nguy hiểm, và biết rằng Miko của Hoa Anh Đào Rực Lửa sẽ chạm trán với đội tiên phong, tôi đã vội vã đến đây chỉ để gặp bạn."
Zuoyequnxing_10_10,"Bạn không nên mạo hiểm đến mức đó. Nếu muốn gặp tôi, bạn chỉ cần đến Flaming Sakura là được."
Zuoyequnxing_10_11,"Tôi biết, tôi biết mà. Mọi người đều nói bạn chỉ cần viết điều ước lên tấm bia và Lady Miko sẽ thấy nó... nhưng tôi lại lo lắng. Nếu nó không bao giờ đến được với bạn thì sao?"
Zuoyequnxing_10_12,Thế nên tôi đã phải đi hết quãng đường này để tự mình thực hiện lời ước nguyện. Tôi muốn xem liệu nó có thành sự thật không.
Zuoyequnxing_10_13,"Được thôi. Vậy thì, hãy nói cho tôi biết, điều ước thực sự của bạn là gì?"
Zuoyequnxing_10_14,Tôi ước hòa bình thế giới. Mong mọi người không còn phải sống trong nỗi sợ hãi của The Lament. Tôi muốn tất cả mọi người đều sống sót qua nó—
Zuoyequnxing_10_15,"Lady Miko, điều tôi mong ước là... ""Sẽ không bao giờ có một Miko Hoa Anh Đào Rực Lửa nào khác nữa."""
Zuoyequnxing_10_16,...
Zuoyequnxing_10_17,"Ta hiểu rồi. Vậy ta hứa với ngươi, điều ước này nhất định sẽ được thực hiện."
Zuoyequnxing_10_18,Tôi biết nó sẽ như vậy.
Zuoyequnxing_10_19,"Rốt cuộc thì, bạn <i>là</i> Miko Vĩnh Cửu—"
Zuoyequnxing_10_20,"Này, này. Lady Miko, không cần làm thế đâu."
Zuoyequnxing_10_21,"Nếu bạn muốn, bạn có thể loại bỏ avatar này bất cứ lúc nào. Nhưng... tôi nghĩ bạn sẽ thấy cái này thú vị hơn nhiều."
Zuoyequnxing_10_22,Gyokuro's <ano=con chim trắng>Shiratori</ano>.
Zuoyequnxing_10_23,Tôi biết Fractsidus đã khiến Ashinohara phải chịu đựng không ít nỗi đau. Nhưng riêng tôi thì không. Tôi không hề có ác ý nào với bạn.
Zuoyequnxing_10_24,"Tôi đã từng tiếp xúc với miko tiền nhiệm. Cuộc nói chuyện đó không hề dễ chịu chút nào, nhưng tôi thề với bạn, cái chết của cô ấy không phải do tay tôi gây ra."
Zuoyequnxing_10_25,"Cũng như những gì bạn từng chứng kiến, cô ấy đã đón nhận số phận mà tất cả Mikos của Flaming Sakura phải gánh chịu. Cô ấy đã hy sinh bằng cách thiêu rụi tương lai của mình thành tro tàn, chỉ để đổi lấy hiện tại."
Zuoyequnxing_10_26,Bạn không hề tò mò chút nào sao? Về những gì tôi đã cho cô ấy xem?
